word: overrepresentation
ガネ: 4805.11
麦わら: 1137.89
海賊: 404.10
ひげ: 217.71
エース: 160.68
海軍: 127.63
ヤツ: 111.50
待つ: 58.43
目指す: 31.07
王: 23.08
知る: 22.38
死ぬ: 17.32
仲間: 16.69
分かる: 14.97
白: 12.05
船: 11.54
海: 10.03
島: 9.91
ねえ: 9.35
男: 8.79
来る: 7.21
やる: 6.24
くれる: 4.95
出る: 4.74
レベル: 4.59
行く: 4.40
見る: 3.98
言う: 2.60
する: 2.43
世界: 2.42
なる: 2.35
くる: 2.23
いく: 1.13
できる: 1.10
気: 1.09
いる: 0.83
今: 0.74
時: 0.63
ある: 0.63
いい: 0.60
もの: 0.53
こと: 0.46
ない: 0.22
いう: 0.14
