word: overrepresentation
テンマ: 135711.42
殺す: 86.84
待つ: 39.97
くださる: 39.94
知る: 39.82
警察: 26.33
分かる: 25.30
死ぬ: 20.88
事件: 19.47
聞く: 17.91
男: 11.53
来る: 8.66
くれる: 7.93
見る: 6.11
やる: 5.93
全て: 5.26
言う: 4.39
行く: 4.37
人間: 4.00
子: 3.40
する: 3.33
くる: 2.60
いる: 2.14
なる: 1.87
思う: 1.42
話: 1.41
前: 1.14
できる: 0.98
いく: 0.98
いい: 0.96
今: 0.94
本当: 0.91
時: 0.90
ある: 0.87
こと: 0.82
もの: 0.77
年: 0.76
ところ: 0.75
人: 0.60
中: 0.55
ない: 0.48
いう: 0.25
