word: overrepresentation
ウソップ: 13710.23
麦わら: 971.77
海賊: 239.70
ヤツ: 96.91
待つ: 61.78
野郎: 51.26
ゾンビ: 31.28
バカ: 23.29
知る: 21.67
船: 19.33
分かる: 17.42
死ぬ: 16.39
王: 13.39
仲間: 13.13
ねえ: 12.33
海: 11.07
島: 9.20
男: 8.79
やる: 8.07
来る: 7.47
くれる: 6.08
全て: 5.81
見る: 4.89
行く: 3.97
くる: 3.04
言う: 2.94
する: 2.26
手: 2.17
世界: 1.87
なる: 1.67
気: 1.14
いく: 0.90
できる: 0.87
いる: 0.82
いい: 0.76
今: 0.76
思う: 0.75
ある: 0.59
こと: 0.50
ない: 0.20
いう: 0.12
